Date,Open,High,Low,Close
10/20/2024,"68,179","68,746","68,100","68,495"
10/19/2024,"68,624","68,693","68,029","68,179"
10/18/2024,"66,800","68,997","66,800","68,625"
10/17/2024,"67,743","67,939","66,651","66,795"
10/16/2024,"66,970","68,390","66,155","67,743"
10/15/2024,"65,928","67,890","64,839","66,967"
10/14/2024,"62,720","66,264","62,441","65,930"
10/13/2024,"63,006","63,354","62,037","62,720"
10/12/2024,"63,080","63,451","62,343","63,006"
10/11/2024,"59,667","63,402","59,535","63,079"
10/10/2024,"60,981","61,238","58,889","59,666"
10/09/2024,"62,215","62,513","60,793","60,982"
10/08/2024,"63,346","63,386","61,849","62,217"
10/07/2024,"62,634","64,441","62,303","63,345"
10/06/2024,"61,841","62,945","61,713","62,633"
10/05/2024,"62,399","62,470","61,703","61,841"
10/04/2024,"61,033","62,462","60,470","62,403"
10/03/2024,"60,189","61,461","59,861","61,030"
10/02/2024,"61,722","62,351","59,991","60,188"
10/01/2024,"63,432","64,104","61,082","61,718"
09/30/2024,"65,973","66,072","63,061","63,431"
09/29/2024,"65,735","65,984","65,450","65,973"
09/28/2024,"65,686","66,239","65,458","65,735"
09/27/2024,"64,747","66,492","64,658","65,689"
09/26/2024,"63,155","65,811","62,671","64,748"
09/25/2024,"64,333","64,794","63,002","63,155"
09/24/2024,"63,730","64,372","63,690","64,333"
09/23/2024,"63,164","64,721","62,432","63,305"
09/22/2024,"63,214","63,538","62,485","63,164"
09/21/2024,"62,830","63,407","62,723","63,211"
09/20/2024,"63,269","64,103","62,365","62,835"
09/19/2024,"60,069","63,868","59,543","63,270"
09/18/2024,"59,992","61,309","59,215","60,070"
09/17/2024,"57,894","61,330","57,614","59,992"
09/16/2024,"59,891","59,941","57,518","57,894"
09/15/2024,"59,829","60,387","59,761","59,891"
09/14/2024,"59,743","60,656","59,524","59,829"
09/13/2024,"58,382","60,004","57,654","59,742"
09/12/2024,"57,645","58,513","57,243","58,380"
09/11/2024,"57,971","57,990","55,567","57,649"
09/10/2024,"57,121","58,029","56,418","57,973"
09/09/2024,"54,343","57,167","54,196","57,123"
09/08/2024,"54,406","54,700","53,641","54,343"
09/07/2024,"53,497","54,829","52,605","54,406"
09/06/2024,"56,021","56,968","53,255","53,499"
09/05/2024,"58,065","58,370","55,797","56,020"
09/04/2024,"58,005","58,510","55,683","58,064"
09/03/2024,"58,437","59,801","57,573","58,004"
09/02/2024,"58,490","58,784","57,142","58,437"
09/01/2024,"58,859","59,120","57,406","58,489"
08/31/2024,"58,721","59,434","58,713","58,859"
08/30/2024,"59,257","59,843","57,835","58,724"
08/29/2024,"58,877","61,173","58,695","59,256"
08/28/2024,"62,087","62,088","57,889","58,874"
08/27/2024,"63,329","63,575","61,483","62,085"
08/26/2024,"64,217","64,997","63,107","63,323"
08/25/2024,"64,249","64,506","63,604","64,217"
08/24/2024,"63,685","64,907","63,553","64,249"
08/23/2024,"60,281","63,841","60,281","63,687"
08/22/2024,"61,583","61,796","59,833","60,280"
08/21/2024,"59,501","61,642","58,835","61,583"
08/20/2024,"59,016","61,376","58,627","59,500"
08/19/2024,"59,699","59,845","57,867","59,020"
08/18/2024,"59,479","60,235","59,181","59,699"
08/17/2024,"59,733","59,733","58,775","59,479"
08/16/2024,"57,057","59,839","56,222","59,736"
08/15/2024,"58,912","59,834","56,753","57,057"
08/14/2024,"60,858","61,664","58,757","58,913"
08/13/2024,"59,035","61,573","58,503","60,860"
